dataset,celltype,pr_auc
UC3_UC2,IgA plasma cell,0.074
UC3_UC2,IgA plasma cell,0.062
UC3_UC5,Treg,0.852
UC3_UC5,Treg,0.886
UC3_UC5,Treg,0.87
UC3_UC5,Treg,0.876
UC3_UC5,Treg,0.849
UC3_UC5,Treg,0.936
UC3_UC5,Treg,0.871
UC3_UC5,Treg,0.852
UC3_UC5,Treg,0.852
UC3_UC5,Treg,0.852
UC3_UC5,NK cell,0.75
UC3_UC5,NK cell,0.746
UC3_UC5,NK cell,0.737
UC3_UC5,NK cell,0.746
UC3_UC5,NK cell,0.747
UC3_UC5,NK cell,0.746
UC3_UC5,NK cell,0.747
UC3_UC5,NK cell,0.748
UC3_UC5,NK cell,0.733
UC3_UC5,NK cell,0.746
UC3_UC5,TRGV4 gdT,0.791
UC3_UC5,TRGV4 gdT,0.766
UC3_UC5,TRGV4 gdT,0.866
UC3_UC5,TRGV4 gdT,0.865
UC3_UC5,TRGV4 gdT,0.758
UC3_UC5,TRGV4 gdT,0.758
UC3_UC5,TRGV4 gdT,0.778
UC3_UC5,TRGV4 gdT,0.768
UC3_UC5,TRGV4 gdT,0.771
UC3_UC5,TRGV4 gdT,0.784
UC3_UC5,Memory B,0.767
UC3_UC5,Memory B,0.753
UC3_UC5,Memory B,0.764
UC3_UC5,Memory B,0.752
UC3_UC5,Memory B,0.752
UC3_UC5,Memory B,0.752
UC3_UC5,Memory B,0.752
UC3_UC5,Memory B,0.752
UC3_UC5,Memory B,0.752
UC3_UC5,Memory B,0.752
UC3_UC5,gdT,0.798
UC3_UC5,gdT,0.798
UC3_UC5,gdT,0.725
UC3_UC5,gdT,0.85
UC3_UC5,gdT,0.728
UC3_UC5,gdT,0.852
UC3_UC5,gdT,0.734
UC3_UC5,gdT,0.725
UC3_UC5,gdT,0.755
UC3_UC5,gdT,0.806
UC3_UC5,Naive B,0.843
UC3_UC5,Naive B,0.835
UC3_UC5,Naive B,0.835
UC3_UC5,Naive B,0.835
UC3_UC5,Naive B,0.839
UC3_UC5,Naive B,0.836
UC3_UC5,Naive B,0.839
UC3_UC5,Naive B,0.861
UC3_UC5,Naive B,0.835
UC3_UC5,Naive B,0.837
UC3_UC5,IgA plasma cell,0.427
UC3_UC5,IgA plasma cell,0.425
UC3_UC5,IgA plasma cell,0.424
UC3_UC5,IgA plasma cell,0.425
UC3_UC5,IgA plasma cell,0.424
UC3_UC5,IgA plasma cell,0.424
UC3_UC5,IgA plasma cell,0.424
UC3_UC5,IgA plasma cell,0.424
UC3_UC5,IgA plasma cell,0.515
UC3_UC5,IgA plasma cell,0.424
UC3_UC5,Activated CD8 T,0.446
UC3_UC5,Activated CD8 T,0.446
UC3_UC5,Activated CD8 T,0.439
UC3_UC5,Activated CD8 T,0.789
UC3_UC5,Activated CD8 T,0.791
UC3_UC5,Activated CD8 T,0.793
UC3_UC5,Activated CD8 T,0.446
UC3_UC5,Activated CD8 T,0.439
UC3_UC5,Activated CD8 T,0.439
UC3_UC5,Activated CD8 T,0.789
UC3_UC5,Mast cell,0.45
UC3_UC5,Mast cell,0.505
UC3_UC5,Mast cell,0.486
UC3_UC5,Mast cell,0.526
UC3_UC5,Mast cell,0.45
UC3_UC5,Mast cell,0.45
UC3_UC5,Mast cell,0.45
UC3_UC5,Mast cell,0.486
UC3_UC5,Mast cell,0.733
UC3_UC5,Mast cell,0.58
UC3_UC5,Tfh,0.811
UC3_UC5,Tfh,0.82
UC3_UC5,Tfh,0.811
UC3_UC5,Tfh,0.811
UC3_UC5,Tfh,0.901
UC3_UC5,Tfh,0.813
UC3_UC5,Tfh,0.811
UC3_UC5,Tfh,0.836
UC3_UC5,Tfh,0.811
UC3_UC5,Tfh,0.828
UC3_UC5,SELL+ CD4 T,0.74
UC3_UC5,SELL+ CD4 T,0.739
UC3_UC5,SELL+ CD4 T,0.743
UC3_UC5,SELL+ CD4 T,0.758
UC3_UC5,SELL+ CD4 T,0.744
UC3_UC5,SELL+ CD4 T,0.737
UC3_UC5,SELL+ CD4 T,0.729
UC3_UC5,SELL+ CD4 T,0.798
UC3_UC5,SELL+ CD4 T,0.747
UC3_UC5,SELL+ CD4 T,0.749
UC3_UC5,Activated CD4 T,0.391
UC3_UC5,Activated CD4 T,0.422
UC3_UC5,Activated CD4 T,0.422
UC3_UC5,Activated CD4 T,0.44
UC3_UC5,Activated CD4 T,0.392
UC3_UC5,Activated CD4 T,0.394
UC3_UC5,Activated CD4 T,0.415
UC3_UC5,Activated CD4 T,0.42
UC3_UC5,Activated CD4 T,0.394
UC3_UC5,Activated CD4 T,0.684
UC3_UC5,cDC2,0.573
UC3_UC5,cDC2,0.604
UC3_UC5,cDC2,0.643
UC3_UC5,cDC2,0.573
UC3_UC5,cDC2,0.619
UC3_UC5,cDC2,0.643
UC3_UC5,cDC2,0.664
UC3_UC5,cDC2,0.573
UC3_UC5,cDC2,0.634
UC3_UC5,cDC2,0.635
UC5_UC1,Activated T,0.92
UC5_UC1,Activated T,0.539
UC5_UC1,Activated T,0.797
UC5_UC1,Activated T,0.796
UC5_UC1,Activated T,0.801
UC5_UC1,Activated T,0.797
UC5_UC1,Activated T,0.797
UC5_UC1,Activated T,0.797
UC5_UC1,Activated T,0.685
UC5_UC1,Activated T,0.842
UC5_UC1,Cycling B cell,0.385
UC5_UC1,Cycling B cell,0.385
UC5_UC1,Cycling B cell,0.464
UC5_UC1,Cycling B cell,0.508
UC5_UC1,Cycling B cell,0.437
UC5_UC1,Cycling B cell,0.456
UC5_UC1,Cycling B cell,0.385
UC5_UC1,Cycling B cell,0.393
UC5_UC1,Cycling B cell,0.374
UC5_UC1,Cycling B cell,0.417
UC5_UC1,IgA plasma cell,0.809
UC5_UC1,IgA plasma cell,0.81
UC5_UC1,IgA plasma cell,0.807
UC5_UC1,IgA plasma cell,0.833
UC5_UC1,IgA plasma cell,0.808
UC5_UC1,IgA plasma cell,0.798
UC5_UC1,IgA plasma cell,0.81
UC5_UC1,IgA plasma cell,0.807
UC5_UC1,IgA plasma cell,0.813
UC5_UC1,IgA plasma cell,0.833
UC5_UC1,Contractile pericyte (PLN+),0.825
UC5_UC1,Contractile pericyte (PLN+),0.849
UC5_UC1,Contractile pericyte (PLN+),0.839
UC5_UC1,Contractile pericyte (PLN+),0.852
UC5_UC1,Contractile pericyte (PLN+),0.882
UC5_UC1,Contractile pericyte (PLN+),0.84
UC5_UC1,Contractile pericyte (PLN+),0.835
UC5_UC1,Contractile pericyte (PLN+),0.825
UC5_UC1,Contractile pericyte (PLN+),0.835
UC5_UC1,Contractile pericyte (PLN+),0.849
UC5_UC1,cDC2,0.871
UC5_UC1,cDC2,0.869
UC5_UC1,cDC2,0.823
UC5_UC1,cDC2,0.814
UC5_UC1,cDC2,0.83
UC5_UC1,cDC2,0.817
UC5_UC1,cDC2,0.792
UC5_UC1,cDC2,0.822
UC5_UC1,cDC2,0.853
UC5_UC1,cDC2,0.822
UC5_UC2,IgA plasma cell,0.19
UC5_UC2,IgA plasma cell,0.224
UC5_UC2,IgA plasma cell,0.171
UC5_UC2,IgA plasma cell,0.205
UC5_UC2,IgA plasma cell,0.134
UC5_UC2,IgA plasma cell,0.225
UC5_UC2,IgA plasma cell,0.18
UC5_UC2,IgA plasma cell,0.143
UC5_UC2,IgA plasma cell,0.152
UC5_UC2,IgA plasma cell,0.205
UC5_UC2,Contractile pericyte (PLN+),0.746
UC5_UC2,Contractile pericyte (PLN+),0.805
UC5_UC2,Contractile pericyte (PLN+),0.739
UC5_UC2,Contractile pericyte (PLN+),0.805
UC5_UC2,Contractile pericyte (PLN+),0.746
UC5_UC2,Contractile pericyte (PLN+),0.739
UC5_UC2,Contractile pericyte (PLN+),0.747
UC5_UC2,Contractile pericyte (PLN+),0.746
UC5_UC2,Contractile pericyte (PLN+),0.837
UC5_UC2,Contractile pericyte (PLN+),0.847
UC5_UC3,Treg,0.985
UC5_UC3,Treg,0.992
UC5_UC3,Treg,0.985
UC5_UC3,Treg,0.981
UC5_UC3,Treg,0.983
UC5_UC3,Treg,0.978
UC5_UC3,Treg,0.981
UC5_UC3,Treg,0.985
UC5_UC3,Treg,0.983
UC5_UC3,Treg,0.981
UC5_UC3,NK cell,0.624
UC5_UC3,NK cell,0.622
UC5_UC3,NK cell,0.687
UC5_UC3,NK cell,0.687
UC5_UC3,NK cell,0.687
UC5_UC3,NK cell,0.591
UC5_UC3,NK cell,0.632
UC5_UC3,NK cell,0.563
UC5_UC3,NK cell,0.666
UC5_UC3,NK cell,0.657
UC5_UC3,TRGV4 gdT,0.951
UC5_UC3,TRGV4 gdT,0.879
UC5_UC3,TRGV4 gdT,0.794
UC5_UC3,TRGV4 gdT,0.756
UC5_UC3,TRGV4 gdT,0.803
UC5_UC3,TRGV4 gdT,0.888
UC5_UC3,TRGV4 gdT,0.756
UC5_UC3,TRGV4 gdT,0.85
UC5_UC3,TRGV4 gdT,0.832
UC5_UC3,TRGV4 gdT,0.832
UC5_UC3,Memory B,0.971
UC5_UC3,Memory B,0.973
UC5_UC3,Memory B,0.968
UC5_UC3,Memory B,0.969
UC5_UC3,Memory B,0.962
UC5_UC3,Memory B,0.961
UC5_UC3,Memory B,0.974
UC5_UC3,Memory B,0.971
UC5_UC3,Memory B,0.97
UC5_UC3,Memory B,0.967
UC5_UC3,gdT,0.868
UC5_UC3,gdT,0.878
UC5_UC3,gdT,0.863
UC5_UC3,gdT,0.864
UC5_UC3,gdT,0.864
UC5_UC3,gdT,0.849
UC5_UC3,gdT,0.849
UC5_UC3,gdT,0.864
UC5_UC3,gdT,0.86
UC5_UC3,gdT,0.86
UC5_UC3,Naive B,0.988
UC5_UC3,Naive B,0.988
UC5_UC3,Naive B,1.0
UC5_UC3,Naive B,0.982
UC5_UC3,Naive B,0.979
UC5_UC3,Naive B,0.976
UC5_UC3,Naive B,0.976
UC5_UC3,Naive B,0.988
UC5_UC3,Naive B,0.999
UC5_UC3,Naive B,0.977
UC5_UC3,IgA plasma cell,1.0
UC5_UC3,IgA plasma cell,0.994
UC5_UC3,IgA plasma cell,0.994
UC5_UC3,IgA plasma cell,0.998
UC5_UC3,IgA plasma cell,0.994
UC5_UC3,IgA plasma cell,0.997
UC5_UC3,IgA plasma cell,0.995
UC5_UC3,IgA plasma cell,0.994
UC5_UC3,IgA plasma cell,0.996
UC5_UC3,IgA plasma cell,0.996
UC5_UC3,Activated CD8 T,0.835
UC5_UC3,Activated CD8 T,0.835
UC5_UC3,Activated CD8 T,0.837
UC5_UC3,Activated CD8 T,0.849
UC5_UC3,Activated CD8 T,0.836
UC5_UC3,Activated CD8 T,0.833
UC5_UC3,Activated CD8 T,0.833
UC5_UC3,Activated CD8 T,0.833
UC5_UC3,Activated CD8 T,0.832
UC5_UC3,Activated CD8 T,0.836
UC5_UC3,Mast cell,0.587
UC5_UC3,Mast cell,0.611
UC5_UC3,Mast cell,0.673
UC5_UC3,Mast cell,0.575
UC5_UC3,Mast cell,0.683
UC5_UC3,Mast cell,0.634
UC5_UC3,Mast cell,0.631
UC5_UC3,Mast cell,0.741
UC5_UC3,Mast cell,0.729
UC5_UC3,Mast cell,0.424
UC5_UC3,Tfh,1.0
UC5_UC3,Tfh,1.0
UC5_UC3,Tfh,0.965
UC5_UC3,Tfh,1.0
UC5_UC3,Tfh,1.0
UC5_UC3,Tfh,0.963
UC5_UC3,Tfh,0.967
UC5_UC3,Tfh,0.975
UC5_UC3,Tfh,0.972
UC5_UC3,Tfh,0.96
UC5_UC3,SELL+ CD4 T,0.901
UC5_UC3,SELL+ CD4 T,0.991
UC5_UC3,SELL+ CD4 T,0.991
UC5_UC3,SELL+ CD4 T,0.991
UC5_UC3,SELL+ CD4 T,1.0
UC5_UC3,SELL+ CD4 T,1.0
UC5_UC3,SELL+ CD4 T,0.981
UC5_UC3,SELL+ CD4 T,0.848
UC5_UC3,SELL+ CD4 T,0.991
UC5_UC3,SELL+ CD4 T,0.874
UC5_UC3,Activated CD4 T,0.854
UC5_UC3,Activated CD4 T,0.914
UC5_UC3,Activated CD4 T,0.842
UC5_UC3,Activated CD4 T,0.897
UC5_UC3,Activated CD4 T,0.896
UC5_UC3,Activated CD4 T,0.785
UC5_UC3,Activated CD4 T,0.842
UC5_UC3,Activated CD4 T,0.841
UC5_UC3,Activated CD4 T,0.826
UC5_UC3,Activated CD4 T,0.858
UC5_UC3,cDC2,1.0
UC5_UC3,cDC2,1.0
UC5_UC3,cDC2,0.98
UC5_UC3,cDC2,1.0
UC5_UC3,cDC2,1.0
UC5_UC3,cDC2,0.98
UC5_UC3,cDC2,0.898
UC5_UC3,cDC2,0.963
UC5_UC3,cDC2,0.977
UC5_UC3,cDC2,1.0
