dataset,celltype,pr_auc
UC3,Activated CD4 T,0.891
UC3,TRGV4 gdT,1.0
UC3,TRGV4 gdT,1.0
UC3,TRGV4 gdT,1.0
UC3,TRGV4 gdT,1.0
UC3,TRGV4 gdT,1.0
UC3,TRGV4 gdT,1.0
UC3,TRGV4 gdT,0.995
UC3,TRGV4 gdT,1.0
UC3,TRGV4 gdT,0.995
UC3,TRGV4 gdT,0.99
UC3,Mast cell,1.0
UC3,Mast cell,1.0
UC3,Mast cell,1.0
UC3,Mast cell,1.0
UC3,Mast cell,1.0
UC3,Mast cell,1.0
UC3,Mast cell,1.0
UC3,Mast cell,1.0
UC3,Mast cell,1.0
UC3,Mast cell,1.0
UC3,Tfh,1.0
UC3,Tfh,1.0
UC3,Tfh,1.0
UC3,Tfh,1.0
UC3,Tfh,1.0
UC3,Tfh,1.0
UC3,Tfh,1.0
UC3,Tfh,1.0
UC3,Tfh,1.0
UC3,Tfh,1.0
UC3,I cells (CCK+),1.0
UC3,I cells (CCK+),1.0
UC3,I cells (CCK+),1.0
UC3,I cells (CCK+),1.0
UC3,I cells (CCK+),1.0
UC3,I cells (CCK+),1.0
UC3,I cells (CCK+),1.0
UC3,I cells (CCK+),1.0
UC3,I cells (CCK+),1.0
UC3,I cells (CCK+),1.0
UC3,SELL+ CD4 T,1.0
UC3,SELL+ CD4 T,1.0
UC3,SELL+ CD4 T,1.0
UC3,SELL+ CD4 T,1.0
UC3,SELL+ CD4 T,1.0
UC3,SELL+ CD4 T,1.0
UC3,SELL+ CD4 T,0.991
UC3,SELL+ CD4 T,0.991
UC3,SELL+ CD4 T,0.991
UC3,SELL+ CD4 T,0.981
UC3,cDC2,1.0
UC3,cDC2,1.0
UC3,cDC2,1.0
UC3,cDC2,1.0
UC3,cDC2,1.0
UC3,cDC2,1.0
UC3,cDC2,1.0
UC3,cDC2,1.0
UC3,cDC2,1.0
UC3,cDC2,1.0
UC3,Th1,1.0
UC3,Th1,1.0
UC3,Th1,1.0
UC3,Th1,0.989
UC3,Th1,0.9
UC3,Th1,0.9
UC3,Th1,0.9
UC3,Th1,0.9
UC3,Th1,0.9
UC3,Th1,0.9
UC3,Macrophages,1.0
UC3,Macrophages,1.0
UC3,Macrophages,1.0
UC3,Macrophages,1.0
UC3,Macrophages,1.0
UC3,Macrophages,1.0
UC3,Macrophages,1.0
UC3,Macrophages,1.0
UC3,Macrophages,1.0
UC3,Macrophages,1.0
UC5,IgA plasma cell,0.859
UC5,IgA plasma cell,0.856
UC5,IgA plasma cell,0.853
UC5,IgA plasma cell,0.848
UC5,IgA plasma cell,0.849
UC5,IgA plasma cell,0.846
UC5,IgA plasma cell,0.851
UC5,IgA plasma cell,0.849
UC5,IgA plasma cell,0.849
UC5,IgA plasma cell,0.844
UC5,Activated CD4 T,0.772
UC5,Activated CD4 T,0.753
UC5,Activated CD4 T,0.765
UC5,Activated CD4 T,0.758
UC5,Activated CD4 T,0.758
UC5,Activated CD4 T,0.755
UC5,Activated CD4 T,0.766
UC5,Activated CD4 T,0.754
UC5,Activated CD4 T,0.749
UC5,Activated CD4 T,0.743
UC5,Treg,0.955
UC5,Treg,0.952
UC5,Treg,0.955
UC5,Treg,0.951
UC5,Treg,0.954
UC5,Treg,0.953
UC5,Treg,0.954
UC5,Treg,0.952
UC5,Treg,0.955
UC5,Treg,0.951
UC5,Activated CD8 T,0.832
UC5,Activated CD8 T,0.832
UC5,Activated CD8 T,0.824
UC5,Activated CD8 T,0.821
UC5,Activated CD8 T,0.825
UC5,Activated CD8 T,0.823
UC5,Activated CD8 T,0.823
UC5,Activated CD8 T,0.823
UC5,Activated CD8 T,0.821
UC5,Activated CD8 T,0.816
UC5,Memory B,0.883
UC5,Memory B,0.867
UC5,Memory B,0.866
UC5,Memory B,0.868
UC5,Memory B,0.869
UC5,Memory B,0.869
UC5,Memory B,0.869
UC5,Memory B,0.878
UC5,Memory B,0.867
UC5,Memory B,0.862
UC5,SELL+ CD4 T,0.862
UC5,SELL+ CD4 T,0.865
UC5,SELL+ CD4 T,0.853
UC5,SELL+ CD4 T,0.853
UC5,SELL+ CD4 T,0.847
UC5,SELL+ CD4 T,0.848
UC5,SELL+ CD4 T,0.846
UC5,SELL+ CD4 T,0.834
UC5,SELL+ CD4 T,0.838
UC5,SELL+ CD4 T,0.822
UC5,NK cell,0.909
UC5,NK cell,0.909
UC5,NK cell,0.905
UC5,NK cell,0.905
UC5,NK cell,0.905
UC5,NK cell,0.902
UC5,NK cell,0.905
UC5,NK cell,0.899
UC5,NK cell,0.894
UC5,NK cell,0.907
UC5,Activated T,0.917
UC5,Activated T,0.901
UC5,Activated T,0.878
UC5,Activated T,0.871
UC5,Activated T,0.869
UC5,Activated T,0.887
UC5,Activated T,0.887
UC5,Activated T,0.887
UC5,Activated T,0.867
UC5,Activated T,0.886
UC5,Naive B,0.917
UC5,Naive B,0.918
UC5,Naive B,0.906
UC5,Naive B,0.881
UC5,Naive B,0.859
UC5,Naive B,0.839
UC5,Naive B,0.839
UC5,Naive B,0.893
UC5,Naive B,0.883
UC5,Naive B,0.838
UC5,ILC3,0.846
UC5,ILC3,0.836
UC5,ILC3,0.84
UC5,ILC3,0.833
UC5,ILC3,0.84
UC5,ILC3,0.837
UC5,ILC3,0.839
UC5,ILC3,0.827
UC5,ILC3,0.827
UC5,ILC3,0.837
UC5,Cycling plasma cell,0.844
UC5,Cycling plasma cell,0.868
UC5,Cycling plasma cell,0.842
UC5,Cycling plasma cell,0.857
UC5,Cycling plasma cell,0.846
UC5,Cycling plasma cell,0.844
UC5,Cycling plasma cell,0.858
UC5,Cycling plasma cell,0.852
UC5,Cycling plasma cell,0.841
UC5,Cycling plasma cell,0.86
UC5,gdT,0.933
UC5,gdT,0.933
UC5,gdT,0.926
UC5,gdT,0.927
UC5,gdT,0.926
UC5,gdT,0.932
UC5,gdT,0.932
UC5,gdT,0.927
UC5,gdT,0.925
UC5,gdT,0.923
UC5,Immature B,0.928
UC5,Immature B,0.947
UC5,Immature B,0.888
UC5,Immature B,0.889
UC5,Immature B,0.928
UC5,Immature B,0.94
UC5,Immature B,0.888
UC5,Immature B,0.882
UC5,Immature B,0.942
UC5,Immature B,0.932
UC5,CD8 Tmem,0.919
UC5,CD8 Tmem,0.925
UC5,CD8 Tmem,0.935
UC5,CD8 Tmem,0.902
UC5,CD8 Tmem,0.92
UC5,CD8 Tmem,0.895
UC5,CD8 Tmem,0.85
UC5,CD8 Tmem,0.896
UC5,CD8 Tmem,0.911
UC5,CD8 Tmem,0.865
UC5,Monocytes,0.898
UC5,Monocytes,0.897
UC5,Monocytes,0.889
UC5,Monocytes,0.896
UC5,Monocytes,0.896
UC5,Monocytes,0.857
UC5,Monocytes,0.899
UC5,Monocytes,0.901
UC5,Monocytes,0.88
UC5,Monocytes,0.889
UC5,cDC2,0.872
UC5,cDC2,0.798
UC5,cDC2,0.795
UC5,cDC2,0.825
UC5,cDC2,0.839
UC5,cDC2,0.842
UC5,cDC2,0.747
UC5,cDC2,0.791
UC5,cDC2,0.747
UC5,cDC2,0.806
UC5,LTi-like NCR- ILC3,0.923
UC5,LTi-like NCR- ILC3,0.887
UC5,LTi-like NCR- ILC3,0.923
UC5,LTi-like NCR- ILC3,0.883
UC5,LTi-like NCR- ILC3,0.923
UC5,LTi-like NCR- ILC3,0.908
UC5,LTi-like NCR- ILC3,0.867
UC5,LTi-like NCR- ILC3,0.881
UC5,LTi-like NCR- ILC3,0.908
UC5,LTi-like NCR- ILC3,0.887
UC5,IgG plasma cell,0.946
UC5,IgG plasma cell,0.942
UC5,IgG plasma cell,0.937
UC5,IgG plasma cell,0.943
UC5,IgG plasma cell,0.928
UC5,IgG plasma cell,0.926
UC5,IgG plasma cell,0.936
UC5,IgG plasma cell,0.943
UC5,IgG plasma cell,0.943
UC5,IgG plasma cell,0.925
UC5,SELL+ CD8 T,0.892
UC5,SELL+ CD8 T,0.865
UC5,SELL+ CD8 T,0.939
UC5,SELL+ CD8 T,0.89
UC5,SELL+ CD8 T,0.905
UC5,SELL+ CD8 T,0.897
UC5,SELL+ CD8 T,0.889
UC5,SELL+ CD8 T,0.925
UC5,SELL+ CD8 T,0.906
UC5,SELL+ CD8 T,0.915
UC5,Cycling B cell,0.986
UC5,Cycling B cell,0.999
UC5,Cycling B cell,0.997
UC5,Cycling B cell,0.999
UC5,Cycling B cell,0.996
UC5,Cycling B cell,0.998
UC5,Cycling B cell,0.998
UC5,Cycling B cell,0.994
UC5,Cycling B cell,0.983
UC5,Cycling B cell,0.986
UC5,LZ GC cell,0.986
UC5,LZ GC cell,0.986
UC5,LZ GC cell,0.986
UC5,LZ GC cell,0.985
UC5,LZ GC cell,0.997
UC5,LZ GC cell,0.998
UC5,LZ GC cell,0.989
UC5,LZ GC cell,0.998
UC5,LZ GC cell,0.985
UC5,LZ GC cell,0.984
UC5,STAT1+ Naive B,0.927
UC5,STAT1+ Naive B,0.911
UC5,STAT1+ Naive B,0.968
UC5,STAT1+ Naive B,0.895
UC5,STAT1+ Naive B,0.895
UC5,STAT1+ Naive B,0.895
UC5,STAT1+ Naive B,0.895
UC5,STAT1+ Naive B,0.895
UC5,STAT1+ Naive B,0.924
UC5,STAT1+ Naive B,0.924
UC5,TRGV4 gdT,0.989
UC5,TRGV4 gdT,0.988
UC5,TRGV4 gdT,0.985
UC5,TRGV4 gdT,0.975
UC5,TRGV4 gdT,0.981
UC5,TRGV4 gdT,0.982
UC5,TRGV4 gdT,0.981
UC5,TRGV4 gdT,0.977
UC5,TRGV4 gdT,0.978
UC5,TRGV4 gdT,0.978
UC5,Tfh,0.901
UC5,Tfh,0.946
UC5,Tfh,0.843
UC5,Tfh,0.989
UC5,Tfh,0.944
UC5,Tfh,0.857
UC5,Tfh,0.854
UC5,Tfh,0.894
UC5,Tfh,0.864
UC5,Tfh,0.827
UC5,LTi-like NCR+ ILC3,0.936
UC5,LTi-like NCR+ ILC3,0.891
UC5,LTi-like NCR+ ILC3,0.91
UC5,LTi-like NCR+ ILC3,0.892
UC5,LTi-like NCR+ ILC3,0.909
UC5,LTi-like NCR+ ILC3,0.813
UC5,LTi-like NCR+ ILC3,0.889
UC5,LTi-like NCR+ ILC3,0.889
UC5,LTi-like NCR+ ILC3,0.83
UC5,LTi-like NCR+ ILC3,0.913
UC5,Pre-B,0.974
UC5,Pre-B,0.991
UC5,Pre-B,0.987
UC5,Pre-B,0.984
UC5,Pre-B,0.98
UC5,Pre-B,0.984
UC5,Pre-B,0.978
UC5,Pre-B,0.982
UC5,Pre-B,0.967
UC5,Pre-B,0.974
UC5,GC B cell,0.931
UC5,GC B cell,0.931
UC5,GC B cell,0.986
UC5,GC B cell,0.9
UC5,GC B cell,0.9
UC5,GC B cell,0.9
UC5,GC B cell,0.9
UC5,GC B cell,0.9
UC5,GC B cell,0.9
UC5,GC B cell,0.9
UC5,Pro-B,0.889
UC5,Pro-B,0.984
UC5,Pro-B,0.977
UC5,Pro-B,1.0
UC5,Pro-B,0.923
UC5,Pro-B,0.857
UC5,Pro-B,0.857
UC5,Pro-B,0.998
UC5,Pro-B,0.92
UC5,Pro-B,0.958
UC5,Lymphoid DC,1.0
UC5,Lymphoid DC,1.0
UC5,Lymphoid DC,1.0
UC5,Lymphoid DC,1.0
UC5,Lymphoid DC,1.0
UC5,Lymphoid DC,1.0
UC5,Lymphoid DC,1.0
UC5,Lymphoid DC,1.0
UC5,Lymphoid DC,1.0
UC5,Lymphoid DC,1.0
UC5,FCRL4+ Memory B,0.917
UC5,FCRL4+ Memory B,0.951
UC5,FCRL4+ Memory B,0.978
UC5,FCRL4+ Memory B,0.998
UC5,FCRL4+ Memory B,0.951
UC5,FCRL4+ Memory B,0.88
UC5,FCRL4+ Memory B,0.88
UC5,FCRL4+ Memory B,0.88
UC5,FCRL4+ Memory B,0.88
UC5,FCRL4+ Memory B,0.88
UC5,Th17,1.0
UC5,Th17,0.991
UC5,Th17,0.88
UC5,Th17,0.88
UC5,Th17,0.88
UC5,Th17,0.88
UC5,Th17,0.996
UC5,Th17,0.913
UC5,Th17,0.929
UC5,Th17,0.963
UC5,LYVE1+ Macrophage,1.0
UC5,LYVE1+ Macrophage,1.0
UC5,LYVE1+ Macrophage,1.0
UC5,LYVE1+ Macrophage,1.0
UC5,LYVE1+ Macrophage,1.0
UC5,LYVE1+ Macrophage,1.0
UC5,LYVE1+ Macrophage,1.0
UC5,LYVE1+ Macrophage,1.0
UC5,LYVE1+ Macrophage,1.0
UC5,LYVE1+ Macrophage,1.0
UC5,Mast cell,0.967
UC5,Mast cell,1.0
UC5,Mast cell,1.0
UC5,Mast cell,1.0
UC5,Mast cell,1.0
UC5,Mast cell,1.0
UC5,Mast cell,0.85
UC5,Mast cell,0.933
UC5,Mast cell,0.775
UC5,Mast cell,0.833
UC5,Contractile pericyte (PLN+),1.0
UC5,Contractile pericyte (PLN+),1.0
UC5,Contractile pericyte (PLN+),1.0
UC5,Contractile pericyte (PLN+),1.0
UC5,Contractile pericyte (PLN+),1.0
UC5,Contractile pericyte (PLN+),1.0
UC5,Contractile pericyte (PLN+),1.0
UC5,Contractile pericyte (PLN+),1.0
UC5,Contractile pericyte (PLN+),1.0
UC5,Contractile pericyte (PLN+),1.0
